,Hero_1,Hero_2,Hero_3,Hero_4,Hero_5,Won
16838,Windrunner,Lifestealer,Kunkka,Huskar,Lich,0
16839,Lycanthrope,Bloodseeker,Invoker,Witch Doctor,Death Prophet,0
16840,Queen of Pain,Clockwerk,Nature's Prophet,Nyx Assassin,Shadow Demon,0
16841,Doom,Drow Ranger,Tinker,Leshrac,Treant Protector,0
16842,Tinker,Tidehunter,Phantom Lancer,Shadow Demon,Pugna,0
16843,Jakiro,Dark Seer,Undying,Sven,Storm Spirit,0
16844,Rubick,Wisp,Juggernaut,Bounty Hunter,Batrider,0
16845,Weaver,Anti-Mage,Crystal Maiden,Ursa,Night Stalker,0
16846,Nature's Prophet,Juggernaut,Windrunner,Crystal Maiden,Beastmaster,0
16847,Leshrac,Pudge,Axe,Skeleton King,Weaver,0
16848,Shadow Demon,Pugna,Necrolyte,Kunkka,Tiny,0
16849,Huskar,Pudge,Sand King,Kunkka,Rubick,0
16850,Faceless Void,Enigma,Invoker,Jakiro,Mirana,0
16851,Nyx Assassin,Lion,Windrunner,Bounty Hunter,Queen of Pain,0
16852,Dragon Knight,Pudge,Mirana,Keeper of the Light,Phantom Lancer,0
16853,Skeleton King,Invoker,Enigma,Omniknight,Wisp,0
16854,Venomancer,Invoker,Medusa,Necrolyte,Queen of Pain,0
16855,Tinker,Mirana,Silencer,Venomancer,Alchemist,0
16856,Shadow Demon,Templar Assassin,Gyrocopter,Bounty Hunter,Sand King,0
16857,Ogre Magi,Razor,Queen of Pain,Faceless Void,Tiny,0
16858,Nature's Prophet,Ogre Magi,Bounty Hunter,Windrunner,Spirit Breaker,0
16859,Riki,Drow Ranger,Nyx Assassin,Slark,Lifestealer,0
16860,Witch Doctor,Phantom Assassin,Tiny,Crystal Maiden,Jakiro,0
16861,Pudge,Tidehunter,Ancient Apparition,Sniper,Faceless Void,0
16862,Magnus,Necrolyte,Pugna,Lone Druid,Keeper of the Light,0
16863,Sand King,Nyx Assassin,Witch Doctor,Axe,Sniper,0
16864,Nyx Assassin,Earthshaker,Tidehunter,Silencer,Sniper,0
16865,Slark,Windrunner,Rubick,Warlock,Morphling,0
16866,Alchemist,Nyx Assassin,Tiny,Lina,Enigma,0
16867,Drow Ranger,Visage,Broodmother,Faceless Void,Nature's Prophet,0
16868,Vengeful Spirit,Disruptor,Alchemist,Riki,Invoker,0
16869,Rubick,Mirana,Pudge,Dragon Knight,Beastmaster,0
16870,Naga Siren,Queen of Pain,Batrider,Mirana,Dark Seer,0
16871,Lone Druid,Earthshaker,Batrider,Enigma,Enchantress,0
16872,Drow Ranger,Ursa,Invoker,Slark,Witch Doctor,0
16873,Invoker,Naga Siren,Drow Ranger,Axe,Shadow Fiend,0
16874,Lone Druid,Shadow Fiend,Slardar,Witch Doctor,Kunkka,0
16875,Bloodseeker,Invoker,Kunkka,Razor,Crystal Maiden,0
16876,Nature's Prophet,Night Stalker,Riki,Dazzle,Weaver,0
16877,Tiny,Pudge,Windrunner,Pugna,Lone Druid,0
16878,Pudge,Morphling,Lifestealer,Tiny,Lion,0
16879,Spirit Breaker,Necrolyte,Lion,Meepo,Puck,0
16880,Mirana,Axe,Sven,Lina,Phantom Lancer,0
16881,Clinkz,Night Stalker,Riki,Nyx Assassin,Dazzle,0
16882,Windrunner,Nyx Assassin,Faceless Void,Witch Doctor,Pudge,0
16883,Clinkz,Ancient Apparition,Lone Druid,Bane,Pudge,0
16884,Dragon Knight,Pudge,Crystal Maiden,Enigma,Mirana,0
16885,Drow Ranger,Dragon Knight,Bloodseeker,Lich,Lone Druid,0
16886,Medusa,Axe,Bounty Hunter,Pugna,Batrider,0
16887,Enchantress,Pudge,Kunkka,Bounty Hunter,Shadow Demon,0
16888,Pudge,Clockwerk,Luna,Ogre Magi,Enigma,0
16889,Huskar,Shadow Fiend,Lifestealer,Zeus,Jakiro,0
16890,Timbersaw,Keeper of the Light,Nyx Assassin,Kunkka,Sniper,0
16891,Bounty Hunter,Razor,Anti-Mage,Mirana,Nature's Prophet,0
16892,Bane,Keeper of the Light,Meepo,Razor,Rubick,0
16893,Sniper,Lion,Rubick,Ursa,Slark,0
16894,Bane,Silencer,Disruptor,Phantom Lancer,Enigma,0
16895,Shadow Demon,Windrunner,Lone Druid,Pudge,Luna,0
16896,Earthshaker,Dark Seer,Queen of Pain,Outworld Devourer,Bane,0
16897,Skeleton King,Windrunner,Medusa,Magnus,Queen of Pain,0
16898,Rubick,Outworld Devourer,Ancient Apparition,Dark Seer,Medusa,0
16899,Treant Protector,Magnus,Riki,Nyx Assassin,Faceless Void,0
16900,Medusa,Lone Druid,Brewmaster,Storm Spirit,Lion,0
16901,Windrunner,Invoker,Phantom Lancer,Chaos Knight,Tidehunter,0
16902,Silencer,Spectre,Pugna,Clinkz,Rubick,0
16903,Rubick,Luna,Tiny,Venomancer,Magnus,0
16904,Lifestealer,Wisp,Pudge,Queen of Pain,Tidehunter,0
16905,Zeus,Rubick,Storm Spirit,Chen,Juggernaut,0
16906,Lone Druid,Invoker,Warlock,Viper,Tidehunter,0
16907,Earthshaker,Tinker,Medusa,Sniper,Puck,0
16908,Troll Warlord,Sven,Rubick,Tiny,Medusa,0
16909,Queen of Pain,Wisp,Juggernaut,Beastmaster,Dazzle,0
16910,Puck,Windrunner,Enigma,Crystal Maiden,Anti-Mage,0
16911,Silencer,Lifestealer,Wisp,Dark Seer,Chaos Knight,0
16912,Storm Spirit,Lina,Enchantress,Spirit Breaker,Undying,0
16913,Axe,Clinkz,Lone Druid,Shadow Shaman,Shadow Fiend,0
16914,Silencer,Chaos Knight,Leshrac,Invoker,Pudge,0
16915,Batrider,Morphling,Rubick,Magnus,Earthshaker,0
16916,Lich,Kunkka,Razor,Beastmaster,Pugna,0
16917,Nature's Prophet,Tinker,Earthshaker,Gyrocopter,Morphling,0
16918,Crystal Maiden,Keeper of the Light,Bounty Hunter,Ursa,Pudge,0
16919,Magnus,Nature's Prophet,Pudge,Sand King,Huskar,0
16920,Kunkka,Crystal Maiden,Rubick,Alchemist,Medusa,0
16921,Tinker,Slardar,Leshrac,Ancient Apparition,Bane,0
16922,Rubick,Viper,Pugna,Windrunner,Anti-Mage,0
16923,Storm Spirit,Kunkka,Venomancer,Nyx Assassin,Lion,0
16924,Troll Warlord,Dark Seer,Pudge,Nyx Assassin,Lone Druid,0
16925,Ursa,Omniknight,Zeus,Pudge,Shadow Demon,0
16926,Sniper,Batrider,Bounty Hunter,Tinker,Silencer,0
16927,Invoker,Nyx Assassin,Phantom Lancer,Batrider,Meepo,0
16928,Silencer,Enigma,Gyrocopter,Windrunner,Spectre,0
16929,Templar Assassin,Bounty Hunter,Rubick,Chaos Knight,Juggernaut,0
16930,Shadow Fiend,Tiny,Faceless Void,Kunkka,Dazzle,0
16931,Nature's Prophet,Batrider,Gyrocopter,Lich,Mirana,0
16932,Dark Seer,Outworld Devourer,Warlock,Kunkka,Invoker,0
16933,Anti-Mage,Necrolyte,Silencer,Enchantress,Lone Druid,0
16934,Vengeful Spirit,Luna,Naga Siren,Windrunner,Beastmaster,0
16935,Windrunner,Templar Assassin,Nyx Assassin,Vengeful Spirit,Riki,0
16936,Slardar,Luna,Sniper,Ogre Magi,Axe,0
16937,Lifestealer,Pudge,Phantom Assassin,Bounty Hunter,Bloodseeker,0
16938,Shadow Fiend,Sven,Keeper of the Light,Windrunner,Lone Druid,0
16939,Queen of Pain,Anti-Mage,Pudge,Rubick,Venomancer,0
16940,Doom,Windrunner,Queen of Pain,Keeper of the Light,Faceless Void,0
16941,Windrunner,Sniper,Centaur Warrunner,Drow Ranger,Shadow Demon,0
16942,Sniper,Beastmaster,Earthshaker,Pudge,Disruptor,0
16943,Dark Seer,Ancient Apparition,Windrunner,Alchemist,Nyx Assassin,0
16944,Juggernaut,Timbersaw,Venomancer,Pudge,Kunkka,0
16945,Crystal Maiden,Huskar,Lifestealer,Chen,Omniknight,0
16946,Invoker,Windrunner,Phantom Lancer,Axe,Venomancer,0
16947,Sand King,Dragon Knight,Sniper,Broodmother,Lifestealer,0
16948,Witch Doctor,Silencer,Chaos Knight,Shadow Demon,Razor,0
16949,Windrunner,Troll Warlord,Lina,Anti-Mage,Pudge,0
16950,Faceless Void,Shadow Fiend,Witch Doctor,Omniknight,Weaver,0
16951,Ogre Magi,Templar Assassin,Timbersaw,Earthshaker,Drow Ranger,0
16952,Lone Druid,Sniper,Templar Assassin,Jakiro,Earthshaker,0
16953,Tiny,Windrunner,Magnus,Venomancer,Riki,0
16954,Luna,Keeper of the Light,Bane,Kunkka,Nyx Assassin,0
16955,Axe,Wisp,Meepo,Zeus,Queen of Pain,0
16956,Faceless Void,Ancient Apparition,Night Stalker,Mirana,Ogre Magi,0
16957,Meepo,Troll Warlord,Axe,Crystal Maiden,Invoker,0
16958,Lifestealer,Jakiro,Bane,Windrunner,Sniper,0
16959,Axe,Invoker,Troll Warlord,Shadow Shaman,Mirana,0
16960,Templar Assassin,Kunkka,Dark Seer,Puck,Enigma,0
16961,Sven,Shadow Demon,Enchantress,Bounty Hunter,Queen of Pain,0
16962,Queen of Pain,Batrider,Rubick,Bounty Hunter,Omniknight,0
16963,Tidehunter,Faceless Void,Ancient Apparition,Queen of Pain,Outworld Devourer,0
16964,Shadow Demon,Night Stalker,Faceless Void,Earthshaker,Tiny,0
16965,Pudge,Mirana,Jakiro,Tinker,Rubick,0
16966,Storm Spirit,Keeper of the Light,Lone Druid,Undying,Jakiro,0
16967,Axe,Mirana,Night Stalker,Invoker,Dark Seer,0
16968,Ursa,Wisp,Dark Seer,Lone Druid,Bloodseeker,0
16969,Spirit Breaker,Clinkz,Tidehunter,Undying,Silencer,0
16970,Sniper,Brewmaster,Morphling,Vengeful Spirit,Bane,0
16971,Lifestealer,Venomancer,Doom,Queen of Pain,Mirana,0
16972,Windrunner,Lion,Magnus,Timbersaw,Phantom Assassin,0
16973,Dark Seer,Phantom Lancer,Magnus,Leshrac,Nature's Prophet,0
16974,Anti-Mage,Silencer,Skeleton King,Zeus,Vengeful Spirit,0
16975,Venomancer,Drow Ranger,Nyx Assassin,Pudge,Alchemist,0
16976,Axe,Nature's Prophet,Windrunner,Rubick,Anti-Mage,0
16977,Morphling,Shadow Demon,Shadow Fiend,Dark Seer,Jakiro,0
16978,Mirana,Clockwerk,Sand King,Skeleton King,Rubick,0
16979,Leshrac,Lion,Weaver,Templar Assassin,Sniper,0
16980,Huskar,Enchantress,Doom,Jakiro,Clockwerk,0
16981,Pudge,Juggernaut,Venomancer,Chen,Windrunner,0
16982,Slark,Nyx Assassin,Ancient Apparition,Razor,Night Stalker,0
16983,Tiny,Lion,Batrider,Mirana,Weaver,0
16984,Dark Seer,Omniknight,Jakiro,Lion,Enigma,0
16985,Bounty Hunter,Morphling,Earthshaker,Dragon Knight,Shadow Demon,0
16986,Faceless Void,Pudge,Rubick,Dark Seer,Ogre Magi,0
16987,Centaur Warrunner,Venomancer,Weaver,Mirana,Axe,0
16988,Windrunner,Juggernaut,Doom,Pudge,Witch Doctor,0
16989,Ursa,Axe,Nyx Assassin,Phantom Lancer,Rubick,0
16990,Windrunner,Magnus,Slardar,Sand King,Keeper of the Light,0
16991,Pudge,Dark Seer,Bounty Hunter,Puck,Nature's Prophet,0
16992,Brewmaster,Enchantress,Troll Warlord,Pudge,Vengeful Spirit,0
16993,Queen of Pain,Lion,Nature's Prophet,Naga Siren,Broodmother,0
16994,Shadow Fiend,Nature's Prophet,Mirana,Troll Warlord,Keeper of the Light,0
16995,Windrunner,Lich,Sniper,Magnus,Nature's Prophet,0
16996,Dark Seer,Phantom Assassin,Centaur Warrunner,Vengeful Spirit,Windrunner,0
16997,Weaver,Lone Druid,Pudge,Enigma,Keeper of the Light,0
16998,Shadow Demon,Morphling,Shadow Fiend,Pudge,Venomancer,0
16999,Beastmaster,Tinker,Silencer,Doom,Gyrocopter,0
17000,Juggernaut,Pudge,Keeper of the Light,Shadow Demon,Phantom Assassin,0
17001,Troll Warlord,Leshrac,Tidehunter,Axe,Shadow Fiend,0
17002,Anti-Mage,Batrider,Pudge,Keeper of the Light,Shadow Fiend,0
17003,Rubick,Queen of Pain,Enigma,Riki,Nyx Assassin,0
17004,Shadow Fiend,Batrider,Anti-Mage,Shadow Demon,Alchemist,0
17005,Dark Seer,Outworld Devourer,Queen of Pain,Storm Spirit,Sniper,0
17006,Puck,Witch Doctor,Storm Spirit,Outworld Devourer,Bounty Hunter,0
17007,Lina,Bane,Omniknight,Anti-Mage,Bloodseeker,0
17008,Earthshaker,Omniknight,Vengeful Spirit,Pudge,Storm Spirit,0
17009,Puck,Keeper of the Light,Phantom Lancer,Ogre Magi,Magnus,0
17010,Drow Ranger,Rubick,Zeus,Juggernaut,Bane,0
17011,Keeper of the Light,Invoker,Chaos Knight,Anti-Mage,Axe,0
17012,Clockwerk,Undying,Disruptor,Centaur Warrunner,Riki,0
17013,Sand King,Pudge,Ogre Magi,Batrider,Anti-Mage,0
17014,Silencer,Doom,Viper,Batrider,Spirit Breaker,0
17015,Slardar,Outworld Devourer,Disruptor,Slark,Lina,0
17016,Weaver,Warlock,Riki,Kunkka,Wisp,0
17017,Vengeful Spirit,Luna,Nature's Prophet,Bounty Hunter,Tidehunter,0
17018,Nyx Assassin,Spectre,Broodmother,Beastmaster,Windrunner,0
17019,Faceless Void,Pudge,Tiny,Enigma,Queen of Pain,0
17020,Visage,Alchemist,Zeus,Nyx Assassin,Storm Spirit,0
17021,Puck,Broodmother,Dark Seer,Slark,Silencer,0
17022,Ursa,Skeleton King,Keeper of the Light,Alchemist,Shadow Demon,0
17023,Slark,Omniknight,Puck,Sand King,Faceless Void,0
17024,Nature's Prophet,Warlock,Mirana,Undying,Sniper,0
17025,Wisp,Chaos Knight,Nature's Prophet,Viper,Magnus,0
17026,Dark Seer,Clinkz,Sven,Jakiro,Enchantress,0
17027,Visage,Ancient Apparition,Necrolyte,Mirana,Phantom Assassin,0
17028,Bloodseeker,Disruptor,Batrider,Lich,Nature's Prophet,0
17029,Razor,Visage,Mirana,Bane,Batrider,0
17030,Lina,Bounty Hunter,Sven,Bloodseeker,Puck,0
17031,Pudge,Juggernaut,Axe,Morphling,Bane,0
17032,Magnus,Axe,Gyrocopter,Alchemist,Clinkz,0
17033,Lifestealer,Wisp,Warlock,Timbersaw,Outworld Devourer,0
17034,Pudge,Windrunner,Sand King,Rubick,Spectre,0
17035,Clockwerk,Pudge,Invoker,Lina,Sniper,0
17036,Rubick,Keeper of the Light,Anti-Mage,Sven,Windrunner,0
17037,Dark Seer,Clinkz,Disruptor,Leshrac,Lion,0
17038,Lone Druid,Riki,Clinkz,Tidehunter,Nature's Prophet,0
17039,Invoker,Viper,Death Prophet,Zeus,Chen,0
17040,Anti-Mage,Earthshaker,Death Prophet,Bane,Pudge,0
17041,Razor,Disruptor,Shadow Fiend,Alchemist,Spirit Breaker,0
17042,Lone Druid,Templar Assassin,Queen of Pain,Timbersaw,Drow Ranger,0
17043,Lina,Meepo,Alchemist,Ursa,Gyrocopter,0
17044,Skeleton King,Pudge,Brewmaster,Troll Warlord,Wisp,0
17045,Spectre,Death Prophet,Weaver,Lich,Jakiro,0
17046,Enigma,Pudge,Medusa,Clockwerk,Gyrocopter,0
17047,Doom,Lone Druid,Puck,Nyx Assassin,Timbersaw,0
17048,Nyx Assassin,Storm Spirit,Keeper of the Light,Phantom Lancer,Puck,0
17049,Nature's Prophet,Troll Warlord,Vengeful Spirit,Keeper of the Light,Shadow Shaman,0
17050,Queen of Pain,Huskar,Chaos Knight,Clockwerk,Centaur Warrunner,0
17051,Axe,Bloodseeker,Wisp,Razor,Viper,0
17052,Queen of Pain,Viper,Pudge,Batrider,Bounty Hunter,0
17053,Phantom Assassin,Tinker,Brewmaster,Pugna,Ogre Magi,0
17054,Nyx Assassin,Dark Seer,Enigma,Bounty Hunter,Shadow Demon,0
17055,Keeper of the Light,Drow Ranger,Sand King,Pudge,Nature's Prophet,0
17056,Invoker,Windrunner,Mirana,Witch Doctor,Tinker,0
17057,Tidehunter,Puck,Meepo,Clinkz,Ursa,0
17058,Templar Assassin,Ancient Apparition,Magnus,Slardar,Axe,0
17059,Storm Spirit,Lina,Jakiro,Pudge,Lycanthrope,0
17060,Wisp,Treant Protector,Templar Assassin,Weaver,Tiny,0
17061,Naga Siren,Invoker,Shadow Fiend,Alchemist,Anti-Mage,0
17062,Nature's Prophet,Anti-Mage,Queen of Pain,Visage,Lion,0
17063,Tinker,Disruptor,Vengeful Spirit,Alchemist,Tidehunter,0
17064,Pudge,Gyrocopter,Drow Ranger,Keeper of the Light,Weaver,0
17065,Vengeful Spirit,Undying,Templar Assassin,Earthshaker,Silencer,0
17066,Crystal Maiden,Axe,Windrunner,Tinker,Juggernaut,0
17067,Phantom Assassin,Puck,Axe,Ancient Apparition,Kunkka,0
17068,Shadow Demon,Visage,Sniper,Storm Spirit,Anti-Mage,0
17069,Lone Druid,Juggernaut,Meepo,Puck,Mirana,0
17070,Doom,Meepo,Venomancer,Lina,Mirana,0
17071,Enchantress,Kunkka,Sniper,Pudge,Axe,0
17072,Earthshaker,Templar Assassin,Lina,Kunkka,Drow Ranger,0
17073,Morphling,Jakiro,Ancient Apparition,Anti-Mage,Slardar,0
17074,Keeper of the Light,Broodmother,Luna,Undying,Pugna,0
17075,Phantom Lancer,Invoker,Timbersaw,Axe,Mirana,0
17076,Nyx Assassin,Alchemist,Earthshaker,Sven,Mirana,0
17077,Rubick,Enchantress,Nature's Prophet,Weaver,Skeleton King,0
17078,Sniper,Shadow Fiend,Crystal Maiden,Treant Protector,Puck,0
17079,Lone Druid,Medusa,Gyrocopter,Tiny,Batrider,0
17080,Tidehunter,Huskar,Silencer,Spectre,Wisp,0
17081,Shadow Shaman,Death Prophet,Mirana,Jakiro,Gyrocopter,0
17082,Medusa,Leshrac,Undying,Wisp,Lich,0
17083,Tiny,Ogre Magi,Juggernaut,Rubick,Wisp,0
17084,Rubick,Death Prophet,Zeus,Anti-Mage,Dark Seer,0
17085,Storm Spirit,Crystal Maiden,Chaos Knight,Medusa,Disruptor,0
17086,Queen of Pain,Riki,Keeper of the Light,Kunkka,Wisp,0
17087,Lich,Omniknight,Templar Assassin,Storm Spirit,Windrunner,0
17088,Invoker,Silencer,Disruptor,Slardar,Phantom Assassin,0
17089,Queen of Pain,Keeper of the Light,Lifestealer,Tidehunter,Invoker,0
17090,Phantom Assassin,Shadow Demon,Slardar,Outworld Devourer,Windrunner,0
17091,Clinkz,Dragon Knight,Disruptor,Windrunner,Storm Spirit,0
17092,Nature's Prophet,Nyx Assassin,Spectre,Rubick,Clockwerk,0
17093,Pudge,Earthshaker,Razor,Skeleton King,Keeper of the Light,0
17094,Pugna,Night Stalker,Magnus,Skeleton King,Chaos Knight,0
17095,Templar Assassin,Vengeful Spirit,Lich,Slardar,Faceless Void,0
17096,Skeleton King,Juggernaut,Witch Doctor,Ancient Apparition,Treant Protector,0
17097,Earthshaker,Sand King,Death Prophet,Lina,Naga Siren,0
17098,Phantom Assassin,Witch Doctor,Sniper,Puck,Pugna,0
17099,Invoker,Sven,Faceless Void,Dragon Knight,Pudge,0
17100,Pudge,Nature's Prophet,Visage,Ursa,Necrolyte,0
17101,Clinkz,Pudge,Dark Seer,Chaos Knight,Leshrac,0
17102,Batrider,Faceless Void,Treant Protector,Meepo,Sniper,0
17103,Queen of Pain,Lifestealer,Undying,Bane,Shadow Fiend,0
17104,Gyrocopter,Invoker,Vengeful Spirit,Faceless Void,Lina,0
17105,Doom,Night Stalker,Troll Warlord,Shadow Shaman,Lifestealer,0
17106,Invoker,Mirana,Keeper of the Light,Phantom Lancer,Chen,0
17107,Pugna,Storm Spirit,Razor,Sven,Batrider,0
17108,Undying,Axe,Tiny,Lina,Drow Ranger,0
17109,Nature's Prophet,Rubick,Faceless Void,Tiny,Bloodseeker,0
17110,Axe,Invoker,Drow Ranger,Shadow Shaman,Anti-Mage,0
17111,Zeus,Witch Doctor,Windrunner,Leshrac,Chaos Knight,0
17112,Invoker,Keeper of the Light,Phantom Lancer,Huskar,Dark Seer,0
17113,Silencer,Venomancer,Rubick,Storm Spirit,Alchemist,0
17114,Shadow Fiend,Tidehunter,Death Prophet,Bane,Anti-Mage,0
17115,Centaur Warrunner,Keeper of the Light,Spectre,Naga Siren,Invoker,0
17116,Spirit Breaker,Visage,Clockwerk,Nyx Assassin,Chaos Knight,0
17117,Jakiro,Bounty Hunter,Huskar,Chen,Magnus,0
17118,Axe,Shadow Fiend,Crystal Maiden,Treant Protector,Invoker,0
17119,Medusa,Axe,Shadow Fiend,Clockwerk,Puck,0
17120,Templar Assassin,Ursa,Luna,Lina,Dazzle,0
17121,Puck,Bloodseeker,Axe,Dazzle,Troll Warlord,0
17122,Undying,Mirana,Slark,Zeus,Pudge,0
17123,Storm Spirit,Lone Druid,Beastmaster,Centaur Warrunner,Skeleton King,0
17124,Beastmaster,Sand King,Enchantress,Crystal Maiden,Earthshaker,0
17125,Drow Ranger,Lich,Silencer,Storm Spirit,Undying,0
17126,Beastmaster,Magnus,Gyrocopter,Venomancer,Morphling,0
17127,Tinker,Phantom Lancer,Keeper of the Light,Phantom Assassin,Lina,0
17128,Leshrac,Crystal Maiden,Shadow Demon,Spirit Breaker,Faceless Void,0
17129,Slark,Doom,Rubick,Kunkka,Spirit Breaker,0
17130,Naga Siren,Night Stalker,Puck,Skeleton King,Razor,0
17131,Mirana,Enigma,Windrunner,Naga Siren,Crystal Maiden,0
17132,Storm Spirit,Lone Druid,Batrider,Bane,Pudge,0
17133,Treant Protector,Silencer,Bane,Death Prophet,Dark Seer,0
17134,Lifestealer,Lich,Nature's Prophet,Pudge,Bloodseeker,0
17135,Riki,Huskar,Enigma,Lich,Shadow Fiend,0
17136,Magnus,Enigma,Mirana,Chen,Phantom Lancer,0
17137,Axe,Queen of Pain,Clockwerk,Lina,Clinkz,0
17138,Faceless Void,Warlock,Windrunner,Troll Warlord,Pudge,0
17139,Skeleton King,Huskar,Sand King,Shadow Fiend,Visage,0
17140,Necrolyte,Riki,Keeper of the Light,Slardar,Dragon Knight,0
17141,Lycanthrope,Windrunner,Enigma,Venomancer,Brewmaster,0
17142,Rubick,Luna,Omniknight,Morphling,Chaos Knight,0
17143,Rubick,Lifestealer,Tidehunter,Weaver,Juggernaut,0
17144,Earthshaker,Weaver,Pudge,Doom,Phantom Lancer,0
17145,Nature's Prophet,Dark Seer,Lina,Invoker,Faceless Void,0
17146,Pudge,Phantom Lancer,Slark,Ursa,Crystal Maiden,0
17147,Spectre,Windrunner,Clockwerk,Nyx Assassin,Lifestealer,0
17148,Medusa,Omniknight,Necrolyte,Mirana,Bounty Hunter,0
17149,Queen of Pain,Phantom Lancer,Shadow Demon,Lina,Windrunner,0
17150,Nature's Prophet,Chaos Knight,Sand King,Anti-Mage,Weaver,0
17151,Viper,Kunkka,Clinkz,Lion,Axe,0
17152,Nature's Prophet,Keeper of the Light,Gyrocopter,Viper,Storm Spirit,0
17153,Slardar,Puck,Phantom Assassin,Medusa,Mirana,0
17154,Queen of Pain,Sniper,Omniknight,Shadow Fiend,Keeper of the Light,0
17155,Lifestealer,Ursa,Windrunner,Puck,Axe,0
17156,Gyrocopter,Nature's Prophet,Pugna,Bloodseeker,Keeper of the Light,0
17157,Magnus,Earthshaker,Nyx Assassin,Dazzle,Anti-Mage,0
17158,Lifestealer,Nature's Prophet,Chaos Knight,Axe,Invoker,0
17159,Puck,Clinkz,Faceless Void,Mirana,Rubick,0
17160,Sniper,Lina,Treant Protector,Vengeful Spirit,Huskar,0
17161,Pudge,Chaos Knight,Windrunner,Rubick,Ogre Magi,0
17162,Invoker,Phantom Lancer,Razor,Warlock,Axe,0
17163,Sand King,Chen,Tidehunter,Broodmother,Razor,0
17164,Leshrac,Mirana,Skeleton King,Slark,Razor,0
17165,Windrunner,Puck,Phantom Lancer,Pudge,Lifestealer,0
17166,Bounty Hunter,Meepo,Axe,Pudge,Pugna,0
17167,Rubick,Beastmaster,Medusa,Slark,Vengeful Spirit,0
17168,Silencer,Shadow Fiend,Dark Seer,Brewmaster,Disruptor,0
17169,Alchemist,Night Stalker,Juggernaut,Batrider,Disruptor,0
17170,Shadow Demon,Dark Seer,Nyx Assassin,Magnus,Sven,0
17171,Enigma,Luna,Bane,Sven,Sand King,0
17172,Phantom Assassin,Venomancer,Puck,Ursa,Luna,0
17173,Chaos Knight,Magnus,Bane,Wisp,Invoker,0
17174,Crystal Maiden,Templar Assassin,Dark Seer,Kunkka,Magnus,0
17175,Shadow Fiend,Crystal Maiden,Naga Siren,Dark Seer,Enigma,0
17176,Silencer,Dragon Knight,Rubick,Skeleton King,Shadow Demon,0
17177,Clinkz,Mirana,Venomancer,Templar Assassin,Chaos Knight,0
17178,Windrunner,Pudge,Axe,Wisp,Invoker,0
17179,Chaos Knight,Lina,Kunkka,Sven,Outworld Devourer,0
17180,Necrolyte,Doom,Pudge,Crystal Maiden,Disruptor,0
17181,Magnus,Dazzle,Disruptor,Anti-Mage,Skeleton King,0
17182,Windrunner,Riki,Batrider,Warlock,Chaos Knight,0
17183,Sand King,Sniper,Morphling,Tinker,Enchantress,0
17184,Visage,Medusa,Wisp,Dark Seer,Lifestealer,0
17185,Lina,Huskar,Medusa,Lone Druid,Warlock,0
17186,Brewmaster,Shadow Demon,Weaver,Night Stalker,Rubick,0
17187,Dark Seer,Templar Assassin,Nature's Prophet,Ursa,Lich,0
17188,Lina,Chen,Anti-Mage,Clockwerk,Pudge,0
17189,Lone Druid,Nyx Assassin,Enchantress,Anti-Mage,Kunkka,0
17190,Luna,Windrunner,Shadow Demon,Rubick,Axe,0
17191,Nature's Prophet,Anti-Mage,Kunkka,Crystal Maiden,Puck,0
17192,Slark,Queen of Pain,Invoker,Earthshaker,Silencer,0
17193,Weaver,Lifestealer,Chen,Brewmaster,Pudge,0
17194,Doom,Kunkka,Troll Warlord,Enigma,Puck,0
17195,Lina,Chaos Knight,Lifestealer,Leshrac,Puck,0
17196,Anti-Mage,Treant Protector,Bane,Razor,Slardar,0
17197,Sniper,Mirana,Morphling,Puck,Keeper of the Light,0
17198,Tiny,Naga Siren,Lion,Storm Spirit,Night Stalker,0
17199,Invoker,Queen of Pain,Clinkz,Alchemist,Sven,0
17200,Templar Assassin,Rubick,Lycanthrope,Death Prophet,Shadow Shaman,0
17201,Sven,Ogre Magi,Magnus,Windrunner,Huskar,0
17202,Templar Assassin,Puck,Shadow Demon,Earthshaker,Invoker,0
17203,Shadow Demon,Queen of Pain,Lifestealer,Morphling,Clockwerk,0
17204,Centaur Warrunner,Death Prophet,Weaver,Clockwerk,Rubick,0
17205,Omniknight,Warlock,Lich,Medusa,Lion,0
17206,Storm Spirit,Lich,Weaver,Troll Warlord,Tidehunter,0
17207,Venomancer,Riki,Axe,Pugna,Bloodseeker,0
17208,Lion,Shadow Demon,Phantom Assassin,Queen of Pain,Sand King,0
17209,Sven,Silencer,Medusa,Phantom Lancer,Treant Protector,0
17210,Clockwerk,Rubick,Nyx Assassin,Disruptor,Shadow Fiend,0
17211,Viper,Troll Warlord,Storm Spirit,Rubick,Ancient Apparition,0
17212,Phantom Lancer,Warlock,Meepo,Keeper of the Light,Viper,0
17213,Puck,Bounty Hunter,Lycanthrope,Warlock,Medusa,0
17214,Doom,Shadow Fiend,Troll Warlord,Earthshaker,Windrunner,0
17215,Chen,Shadow Shaman,Magnus,Keeper of the Light,Centaur Warrunner,0
17216,Phantom Lancer,Tidehunter,Necrolyte,Razor,Lifestealer,0
17217,Skeleton King,Rubick,Lifestealer,Sand King,Puck,0
17218,Pudge,Bounty Hunter,Storm Spirit,Enigma,Rubick,0
17219,Night Stalker,Wisp,Bounty Hunter,Rubick,Lifestealer,0
